timestamp,energy_generation,hour,day_of_week,month,day_of_year,wind_speed,wind_direction,pressure
2019-01-01 00:00:00,27.873587797384733,0,1,1,1,7.18103816960771,288.9847221628682,1015.1472591076563
2019-01-01 01:00:00,6.197713693388647,1,1,1,1,4.483394190646763,248.25904593747205,1007.3685189326869
2019-01-01 02:00:00,1.8076136664101305,2,1,1,1,4.146850753112861,278.56213361463176,1012.1921416464237
2019-01-01 03:00:00,3.0550847825184273,3,1,1,1,4.146906882995402,6.859391253854965,1025.2210610791797
2019-01-01 04:00:00,21.626329295516857,4,1,1,1,13.949143236691953,312.1996657697486,1013.7053462778225
2019-01-01 05:00:00,15.379674335563502,5,1,1,1,8.600118692892666,318.9367481413327,1017.6666500793535
2019-01-01 06:00:00,0.0,6,1,1,1,3.393234005222697,302.8722746021894,1001.014932858727
2019-01-01 07:00:00,0.0,7,1,1,1,7.4094434202936394,262.8563337123056,1006.7806661203301
2019-01-01 08:00:00,0.0,8,1,1,1,5.996880792193941,283.50851581367,1010.0261101803378
2019-01-01 09:00:00,0.0,9,1,1,1,0.6477448304717562,65.24138389456736,1010.1678363466087
2019-01-01 10:00:00,0.0,10,1,1,1,2.0137268480631185,17.145124247119483,1021.7636830476024
2019-01-01 11:00:00,10.582157143951404,11,1,1,1,6.31849691204449,104.30759667913327,1019.4995905911262
2019-01-01 12:00:00,23.570022471188445,12,1,1,1,13.095530602450586,159.28059140410656,1024.7045794272965
2019-01-01 13:00:00,1.7949405783863364,13,1,1,1,4.1755565548774385,97.48014608472192,1008.7545714127313
2019-01-01 14:00:00,0.17083131224644252,14,1,1,1,3.174082317162911,313.43899783694474,1000.5287470180472
2019-01-01 15:00:00,2.4544574293803154,15,1,1,1,5.442022624416497,347.1855211750178,1033.0524023414691
2019-01-01 16:00:00,0.0,16,1,1,1,3.0158534421542926,277.4855013878308,1005.7554421236626
2019-01-01 17:00:00,0.07344223566314548,17,1,1,1,3.9532241434175655,171.5790581320055,999.9747672843708
2019-01-01 18:00:00,0.0,18,1,1,1,4.947907436820794,52.47482138943499,1008.780120022358
2019-01-01 19:00:00,0.0,19,1,1,1,1.9204119145316505,313.93479749324734,1018.523656573183
2019-01-01 20:00:00,8.774042137537858,20,1,1,1,8.910180282639418,303.1197935760314,1020.5869902011534
2019-01-01 21:00:00,0.0,21,1,1,1,1.6055443388371202,58.42750198144357,1018.1770069640036
2019-01-01 22:00:00,0.0,22,1,1,1,1.4183803315040202,17.534134879740257,1019.1656790841589
2019-01-01 23:00:00,1.9488721884735354,23,1,1,1,5.801851253664404,323.6266632738777,1024.3521667697905
2019-01-02 00:00:00,9.409075644325132,0,2,1,2,8.440061423937152,295.8984561431021,1007.4959315857249
2019-01-02 01:00:00,4.820547826738912,1,2,1,2,5.693506723071211,336.3308555783098,1012.0155092859154
2019-01-02 02:00:00,4.108320275367735,2,2,1,2,4.565337531253802,128.83646835452467,1024.7489052271337
2019-01-02 03:00:00,2.576763562822432,3,2,1,2,3.9221443049504225,236.85458667780605,1013.1999849579756
2019-01-02 04:00:00,0.0,4,2,1,2,3.4197294920599512,311.1114313452423,1016.2179672916452
2019-01-02 05:00:00,0.0,5,2,1,2,10.313397901558348,122.91433829958807,1044.191617699366
2019-01-02 06:00:00,0.7326999575654431,6,2,1,2,6.363131818169766,170.82994024291068,1020.8106447786679
2019-01-02 07:00:00,2.59693023082907,7,2,1,2,3.6519564409759626,191.4070434266657,1005.738508177794
2019-01-02 08:00:00,0.0,8,2,1,2,2.8098195879346717,10.538041885706715,1027.0143030087847
2019-01-02 09:00:00,0.0,9,2,1,2,7.762856870123621,298.21679389670567,1014.0801783546145
2019-01-02 10:00:00,0.0,10,2,1,2,10.150325020206653,339.76768122742357,1021.8720159588885
2019-01-02 11:00:00,0.3051480547933979,11,2,1,2,9.543629345408666,150.16824910892745,997.560916841508
2019-01-02 12:00:00,0.0,12,2,1,2,2.403141144634041,220.01468718765656,1008.7475214311502
2019-01-02 13:00:00,2.836888202702919,13,2,1,2,3.895493403862873,194.98361815556243,1027.3869832513042
2019-01-02 14:00:00,1.030469574745809,14,2,1,2,3.3643049025602956,125.24282505529274,1001.0066732954949
2019-01-02 15:00:00,3.6854022736934446,15,2,1,2,4.3148643473579655,29.6749663651198,1013.6746286466389
2019-01-02 16:00:00,0.6268471746965654,16,2,1,2,8.853265570089768,187.24920404446544,1016.8942206845707
2019-01-02 17:00:00,0.0,17,2,1,2,12.306787371621631,87.87940291894495,994.2090715681854
2019-01-02 18:00:00,6.769392510888642,18,2,1,2,6.535461420925496,234.84375739121913,1016.494966965763
2019-01-02 19:00:00,0.0,19,2,1,2,2.8945338692766516,193.40001330991726,1014.9405499864037
2019-01-02 20:00:00,5.316328855048302,20,2,1,2,4.862525894666712,212.590233160119,1020.1470021717341
2019-01-02 21:00:00,14.568320350932426,21,2,1,2,13.837618605220754,216.625923591937,1005.2405019896071
2019-01-02 22:00:00,0.0,22,2,1,2,5.3447658046615585,318.84515975357766,1021.6805196690434
2019-01-02 23:00:00,0.0,23,2,1,2,3.9290541077267314,53.07149149330881,1009.9616937789998
2019-01-03 00:00:00,0.0,0,3,1,3,4.196557835403835,290.03849829914304,1005.3592034892604
2019-01-03 01:00:00,0.0,1,3,1,3,6.514540092144037,343.7008414285124,1025.8011937748972
2019-01-03 02:00:00,0.0,2,3,1,3,2.476895203515788,259.6731073122544,1018.706554734414
2019-01-03 03:00:00,0.25372192879322675,3,3,1,3,3.2975913543700877,50.05834515149015,1006.2476559486975
2019-01-03 04:00:00,5.706654299893618,4,3,1,3,9.449317180722751,306.08648193864354,1002.1864211583513
2019-01-03 05:00:00,4.153783591494387,5,3,1,3,6.384382845969192,285.04679218200084,1009.8037074647095
2019-01-03 06:00:00,0.0,6,3,1,3,5.385482521436639,310.58806308147257,1022.3206379204264
2019-01-03 07:00:00,0.0,7,3,1,3,9.768040694037103,175.08294463492228,1023.7175412666219
2019-01-03 08:00:00,0.0,8,3,1,3,2.744057351344576,295.2882441951797,1001.5404018978363
2019-01-03 09:00:00,0.0,9,3,1,3,3.835304751692941,55.44488596453177,1001.1708527069424
2019-01-03 10:00:00,0.0,10,3,1,3,6.236790914344182,207.6024924546975,1018.2616308302808
2019-01-03 11:00:00,5.7453331201471975,11,3,1,3,6.08074377179209,198.62590343950166,1032.7103154014167
2019-01-03 12:00:00,0.0,12,3,1,3,1.2775367228952392,322.8243377464578,1009.3643198865434
2019-01-03 13:00:00,1.1397989321869761,13,3,1,3,3.5413842408153444,310.64766615207293,1029.4105412484691
2019-01-03 14:00:00,0.0,14,3,1,3,4.400995111084819,257.7745329138478,1018.2273045900539
2019-01-03 15:00:00,4.731941915949296,15,3,1,3,6.733816626095304,62.94529186484087,992.4534993417361
2019-01-03 16:00:00,8.302752960018374,16,3,1,3,6.065290924552798,290.42790589528437,1001.5291043519316
2019-01-03 17:00:00,2.329495194519008,17,3,1,3,4.717178892003926,221.12997703734018,1011.1959013467776
2019-01-03 18:00:00,0.0,18,3,1,3,0.6423152457180019,293.9743980358475,1023.0215570031955
2019-01-03 19:00:00,5.205553533770806,19,3,1,3,4.898013583354381,337.8085300258908,1017.2644932684591
2019-01-03 20:00:00,0.0,20,3,1,3,5.23691708335567,162.0318939121887,1024.1693289948157
2019-01-03 21:00:00,1.0511486726726633,21,3,1,3,21.89399336634861,268.0222289599949,1005.7800243913359
2019-01-03 22:00:00,0.0,22,3,1,3,4.2913793178918995,350.26311955656337,1007.4648712572139
2019-01-03 23:00:00,2.5215034759169503,23,3,1,3,6.261178567391992,76.91457561264575,1014.483052958407
